,channel_name,category,category_ID,length_of_channel_description,age_of_channel,channel_publishe_year,channel_publishe_month,subscriber_count,views,total_videos,single_playlist_id
656,Azerrz,Gaming,20,341,3634,2012,11,7170000,789372051,342,UUiwIAU4SNlrcv47504JrJeQ
657,LaurenZside,Gaming,20,243,5738,2007,2,6860000,2908381719,1927,UUeBnbqt4VRhotq2TQjkIi2A
658,Shroud,Gaming,20,292,2883,2014,12,6810000,1004336138,1423,UUoz3Kpu5lv-ALhR4h9bDvcw
659,Rockstar Games,Gaming,20,954,6112,2006,2,6800000,816342202,314,UU6VcWc1rAoWdBCM0JxrRQ3A
660,Tiko,Gaming,20,82,2511,2015,12,6760000,1184940616,937,UUW0wEGsLzmIgvQDOXgaz4vg
661,Sernando,Gaming,20,80,3466,2013,5,6650000,1016088948,1387,UUKIZCD7ljjbzaWSrDMT0QPw
662,Andre se hace Gamer,Gaming,20,340,3007,2014,8,6610000,3418118373,1273,UU45TGakhd-QcI_Y3WLMz3-g
663,Santa Studio,Gaming,20,866,3900,2012,3,6410000,628405205,37,UU_c4psnFX-ZyCUXA_vlXpIQ
664,DashieGames,Gaming,20,50,4077,2011,9,6380000,2882363770,3043,UUERUmrDh9hmqEXBsnYFNTIA
665,TobyGames,Gaming,20,348,4487,2010,7,6230000,2057153784,5218,UULCmJiSbIoa_ZFiBOBDf6ZA
666,Skeppy,Gaming,20,12,2858,2015,1,6200000,1523722717,996,UUzMjRlKVO9XIqH_crIFpi6w
667,speedyw03,Gaming,20,46,5998,2006,6,6160000,1603311655,1912,UUEe076nFuVobN0bAsXK7ICw
668,FaZe Apex,Gaming,20,39,5117,2008,11,6160000,764594,2,UUa7507M549AiDKN8J89tn5A
669,SypherPK,Gaming,20,406,4311,2011,1,6110000,1695934270,1995,UU_q5WZtFp36adwqhKpZzxwQ
670,GrayStillPlays,Gaming,20,430,2488,2016,1,6100000,2776646381,2900,UUzEy7pi3B7TIS9cn_sdKK9A
671,Genshin Impact,Gaming,20,624,1269,2019,5,6020000,1094141798,327,UUiS882YPwZt1NfaM0gR0D9Q
672,TheDooo,Gaming,20,46,3422,2013,6,6010000,801953200,303,UUPKgIhTC3BdkAwMw6s-GEug
673,TheAtlanticCraft,Gaming,20,116,3792,2012,6,6000000,2788720027,3995,UU4f1zAG2BTkfOQV4_nFbpBQ
674,Skip the Tutorial,Gaming,20,79,1944,2017,7,5970000,908887796,250,UU3xZYc4SZUGfRERIvDRGqDQ
675,Bionic,Gaming,20,121,2928,2014,11,5860000,1536643347,672,UUETZ7OiW7-wqwb-6hsz3C4w
676,XpertThief,Gaming,20,0,6060,2006,4,5810000,1600680870,2109,UUDwujczvdxbbVHg-V4-kC-A
677,LispyJimmy,Gaming,20,212,3688,2012,10,5790000,577710922,2554,UUgrA08uO7JR9h6Xr-ONjPkA
678,Ярик Кeнт,Gaming,20,1,2443,2016,3,5770000,2412491025,1726,UU5hNc6nMPLmcgygWgdHifgw
679,2B Gamer,Gaming,20,478,1142,2019,9,5750000,630402364,1243,UUkB8jdyNRWpzCOJCqIFalbQ
680,KreekCraft,Gaming,20,774,3138,2014,4,5680000,1339841659,4109,UUxsk7hqE_CwZWGEJEkGanbA
681,TG Plays,Gaming,20,177,985,2020,3,5670000,1994757549,919,UUqVCSWnuOSPm26orvNDTuWQ
682,Top5Gaming,Gaming,20,150,1993,2017,5,5590000,1954094314,962,UUYn6CZe5UGIyPe9WJb0pTrg
683,JeromeASF,Gaming,20,476,4142,2011,7,5490000,2326401965,9715,UUrYnLkVfvVf0Qy0YOUQdk2A
684,PUMBA,Gaming,20,269,2632,2015,8,5480000,1295811754,836,UUOdxj0dNaHxyrCfJqJMRknw
685,SeaNanners Gaming Channel,Gaming,20,282,5001,2009,3,5440000,2631276825,1774,UUq54nlcoX-0pLcN5RhxHyug
686,KCN Channel TV2,Gaming,20,279,5377,2008,2,5420000,2721573,19,UUo75zHSLMD5nac5xirUeqhw
687,GameGrumps,Gaming,20,906,3777,2012,7,5370000,6417972822,8242,UU9CuvdOVfMPvKCiwdGKL3cQ
688,ShuffleGamer,Gaming,20,85,2637,2015,8,5350000,770788171,1210,UUI2hA8WukW-Q90aabtm3Hbw
689,Lucky Maker,Gaming,20,47,2563,2015,11,5310000,2338871582,547,UUDE9_bQhX8oc44dy9MHEIQA
690,Cosmo Guy,Gaming,20,170,609,2021,3,5230000,3483501216,182,UU_Ba9vCsY19LF7-gc46lWQQ
691,Moose,Gaming,20,62,2601,2015,9,5190000,1349103812,2419,UUV7lBBz6G20d87WoKFPjsPw
692,NoahJ456,Gaming,20,13,4657,2010,2,5180000,1514466569,3922,UUP9tAErY_RlX4RFKssE4ogg
693,packattack04082,Gaming,20,999,5756,2007,2,5180000,6584479522,7584,UUg_j7kndWLFZEg4yCqUWPCA
694,Poke,Gaming,20,88,5583,2007,7,5170000,1394998041,2794,UU8qNcrcCOpYIsWWwkX9mDGQ
695,Shark,Gaming,20,472,4835,2009,8,5160000,1335391708,2987,UUQVwQQvz8O_0aeFDBVcdhpg
696,GamingWithJen,Gaming,20,341,3636,2012,11,5150000,1281283028,547,UU_ItCy-BTDCULPpDPlieUKA
697,MrBeast,Entertainment,24,658,3918,2012,2,111000000,18453452658,731,UUX6OQ3DkcsbYNE6H8uQQuVA
698,✿ Kids Diana Show,Entertainment,24,997,2741,2015,5,103000000,83766566944,1033,UUk8GzjMOrta8yxDcKfylJYw
699,Like Nastya,Entertainment,24,927,2167,2016,12,102000000,85379103652,732,UUJplp5SjeGSdVdwsfb9Q7lQ
700,Vlad and Niki,Entertainment,24,914,1664,2018,4,89500000,70236123821,500,UUvlE5gTbOvjiolFlEm-c_Ow
701,BillionSurpriseToys - English Kids Songs & Cartoon,Entertainment,24,997,3305,2013,10,47900000,8842368401,676,UURx3mKNUdl8QE06nEug7p6Q
702,BRIGHT SIDE,Entertainment,24,725,2068,2017,3,44200000,10257252315,4904,UU4rlAVgAK0SGk-yTfe48Qpw
703,Like Nastya Show,Entertainment,24,0,1824,2017,11,41800000,18923684141,640,UUS94J1s6-qc8v7btCdS2pNg
704,Little Baby Bum - Nursery Rhymes & Kids Songs,Entertainment,24,948,4161,2011,6,40100000,38052225536,2152,UUKAqou7V9FAWXpZd9xtOg3Q
705,TheEllenShow,Entertainment,24,66,5835,2006,11,38300000,22451008857,14735,UUp0hYYBW6IMayGgR-WeoCvQ
706,Toys and Colors,Entertainment,24,626,2431,2016,3,37500000,42969618222,870,UUgFXm4TI8htWmCyJ6cVPG_A
707,Like Nastya ESP,Entertainment,24,0,2030,2017,4,34900000,16787234053,671,UUpEJRZdSpdVZ8vh63T9I2KQ
708,Ryan's World,Entertainment,24,772,2797,2015,3,33700000,52943251128,2255,UUhGJGhZ9SOOHvBB0Y4DOO_w
709,SSSniperWolf,Entertainment,24,134,3583,2013,1,32900000,21712762000,3173,UUpB959t8iPrxQWj7G6n0ctQ
710,Vlad và Nikita,Entertainment,24,44,1576,2018,7,31500000,19797549959,437,UUcOMTVILq-yIqtFmOqt-QOg
711,Luis Fonsi,Entertainment,24,279,3182,2014,2,31100000,14665065300,130,UUxoq-PAQeAdk_zyg8YS0JqA
712,Boram Tube Vlog [보람튜브 브이로그],Entertainment,24,695,3917,2012,2,29600000,13221466670,223,UUU2zNeYhf9pi_wSqFbYE96w
713,DONA 도나,Entertainment,24,123,1682,2018,4,28800000,18997375384,162,UUTheFErn4MureanSiqgKIag
714,Little Angel: Nursery Rhymes & Kids Songs,Entertainment,24,738,2525,2015,12,28400000,20885427444,1179,UUNzsYU0aWwjERj-9Y9HUEng
715,The Late Late Show with James Corden,Entertainment,24,85,5835,2006,11,28000000,10158425534,5604,UUJ0uqCI0Vqr2Rrt1HseGirg
716,Lucas and Marcus,Entertainment,24,93,4315,2011,1,27600000,9038977268,1024,UUwD4x63A9KC7Si2RuSfg-SA
717,Diana and Roma ESP,Entertainment,24,826,2176,2016,11,27500000,10981532241,516,UUqNmJfc7RgMU6hTxOOuCYHQ
718,व्लाद और निकिता,Entertainment,24,43,1470,2018,11,27500000,16581916505,459,UUUMxxg0KvWiSWHUXRPpnKzw
719,ToypuddingTV,Entertainment,24,31,3105,2014,5,26800000,15633956151,2473,UUKqx9r4mrFglauNBJc1L_eg
720,WORLDSTARHIPHOP,Entertainment,24,834,5117,2008,11,26100000,19716008764,6551,UU-yXuc1__OzjwpsJPlxYUCQ
721,Nick Jr.,Entertainment,24,984,3698,2012,9,25700000,21038941916,4904,UUUe6ZpY6TJ0no8jI4l2iLxw
722,Netflix,Entertainment,24,401,3770,2012,7,25000000,6110782587,5986,UUWOA1ZGywLbqmigxE4Qlvuw
723,ZHC,Entertainment,24,108,3384,2013,8,24700000,2324107036,302,UUlQubH2NeMmGLTLgNdLBwXg
724,Diana and Roma HIN,Entertainment,24,968,1382,2019,1,24000000,11236435976,516,UU5ma-WCc8jNCV0WyRnfbHTg
725,Collins Key,Entertainment,24,163,4113,2011,8,24000000,6448644886,251,UU7TTtOQKMXTWWMtWQMIgVSA
726,James Charles,Entertainment,24,97,2538,2015,12,23800000,3755267268,433,UUucot-Zp428OwkyRm2I7v2Q
727,Logan Paul,Entertainment,24,118,2632,2015,8,23600000,5920464211,712,UUG8rbF3g2AMX70yOd8vqIZg
728,Happy Lives,Entertainment,24,262,2433,2016,3,23400000,10128840135,616,UUWlK0s4T4gyLavYiQTpSzKQ
729,Sesame Street,Entertainment,24,941,6144,2006,1,23000000,21448229778,3493,UUoookXUzPciGrEZEXmh4Jjg
730,Like Nastya AE,Entertainment,24,0,1424,2018,12,22700000,11577268476,616,UU3I1iohrGzxep0p8r1Osw3w
731,America's Got Talent,Entertainment,24,524,5980,2006,6,22700000,4432603160,2897,UUT2X19JJaJGUN7mrYuImANQ
732,Diana and Roma ARA,Entertainment,24,621,1380,2019,2,22400000,10224233389,527,UUtm3DGXkWqAUQZMHl97SVxA
733,D Billions,Entertainment,24,59,1204,2019,7,22400000,25184671422,523,UUi3onjs7UU2Z64i3RrVci-Q
734,Smile Family,Entertainment,24,0,1705,2018,3,22300000,8384804291,446,UUjZ-Ekz7JDN6GDXwusvSHvg
735,Brent Rivera,Entertainment,24,246,4851,2009,8,22100000,5151449063,501,UU56D-IHcUvLVFTX_8NpQMXg
736,FaZe Rug,Entertainment,24,954,3775,2012,7,22100000,6457923875,2044,UUilwZiBBfI9X6yiZRzWty8Q
737,Preston,Entertainment,24,346,3783,2012,7,21800000,7274814312,3903,UU70Dib4MvFfT1tU6MqeyHpQ
738,nigahiga,Entertainment,24,405,5958,2006,7,21200000,4365275835,403,UUSAUGyc_xA8uYzaIVG6MESQ
739,★ Kids Roma Show,Entertainment,24,721,2741,2015,5,21100000,7387241738,603,UUx790OVgpTC1UVBQIqu3gnQ
740,National Geographic,Entertainment,24,312,6033,2006,5,20800000,5326703482,9956,UUpVm7bg6pXKo1Pr6k5kxG9A
741,Family GamesTV,Entertainment,24,0,2482,2016,1,20400000,7069613074,281,UUUhkLR2YOMtWF44kSb-TxyA
742,Vlad and Niki Arabic,Entertainment,24,98,1464,2018,11,20300000,9566225872,449,UUP9MW9ATjUwwulqEYTbp-Mw
743,Lyrical Lemonade,Entertainment,24,266,3519,2013,3,20200000,9900297243,411,UUtylTUUVIGY_i5afsQYeBZA
744,Beast Reacts,Entertainment,24,81,2393,2016,4,20100000,2956783061,226,UUUaT_39o1x6qWjz7K2pWcgw
745,REACT,Entertainment,24,558,5640,2007,6,20000000,13008897160,3970,UU0v-tlzsn0QZwJnkiaUSJVQ
746,Pencilmation,Entertainment,24,451,5763,2007,2,19900000,10979818740,1239,UUUAL--p3qAa27luR0IYbjZA
747,Marvel Entertainment,Entertainment,24,493,6358,2005,6,19800000,5319029020,8202,UUvC4D8onUfXzvjTOM-dBfEA
748,Zhong,Entertainment,24,49,2854,2015,1,19800000,12024217474,1206,UUyagEfIN1okQ-s996XAqCFQ
749,Diana and Roma EN,Entertainment,24,745,3978,2011,12,19700000,4859938271,447,UUl_P0sCqxOdQpMwuajdXkRg
750,Infinite,Entertainment,24,143,3005,2014,8,19600000,4551028843,1540,UU_hSjGOO67A6gIDUcyuv_8A
751,Eva Bravo Play,Entertainment,24,358,1285,2019,5,19600000,9287322890,378,UUvYhgH0hXziSz9IyPztzUug
752,Vania Mania Kids,Entertainment,24,191,2621,2015,9,19300000,7941347758,873,UULbyJSPEe2lx3jY-G0CFR3g
753,Ninja Kidz TV,Entertainment,24,992,2102,2017,2,19200000,9556587992,273,UUpZ88DWlKW0H_AYDaUZptcw
754,Crafty Panda,Entertainment,24,228,1805,2017,12,19000000,5720277500,654,UU03RvJoIhm_fMwlUpm9ZvFw
755,Maya and Mary,Entertainment,24,580,3361,2013,8,18800000,6452894486,543,UU50vBAtklUoJF1Wx5q0pmuw
756,Мирошка ТВ,Entertainment,24,231,1726,2018,2,18300000,4713343406,92,UUUYA9nNP2Pgz5RF_oMvnqdQ
757,SCTV,Entertainment,24,253,3998,2011,12,18300000,8896351762,47511,UU_vsErcsq56hOscPHkG-aVw
758,Vlad and Niki IDN,Entertainment,24,0,1464,2018,11,18300000,8690329438,424,UUgG9IWOPcCIfQoI00xQBUbg
759,PDK Films,Entertainment,24,587,4862,2009,7,18200000,3978891837,110,UU-F6LZSWz34xKknY8NNCzgQ
760,Good Mythical Morning,Entertainment,24,783,5169,2008,9,18000000,8282099799,3053,UU4PooiX37Pld1T8J5SYT-SQ
761,Lele Pons,Entertainment,24,33,2611,2015,9,17700000,5003947108,154,UUi9cDo6239RAzPpBZO9y5SA
762,Liza Koshy,Entertainment,24,41,3358,2013,9,17300000,2602337183,189,UUxSz6JVYmzVhtkraHWZC7HQ
763,EeOneGuy,Entertainment,24,19,3525,2013,3,17100000,3811840716,365,UUrFiA0hztL9e8zTi_qBuW4w
764,IGN,Entertainment,24,972,5898,2006,9,17000000,15029595386,151568,UUKy1dAqELo0zrOtPkf0eTMw
765,Guava Juice,Entertainment,24,199,5961,2006,7,16900000,8916931422,1821,UUMNmwqCtCSpftrbvR3KkHDA
766,Smile Family Spanish,Entertainment,24,0,1242,2019,6,16600000,6248199667,374,UUau6-7svf1fw2QCUJDj68eQ
767,Katie Angel,Entertainment,24,618,2734,2015,5,16600000,3300051991,813,UUgSMDG8aGE3YHfBCXHuPpYA
768,VICE,Entertainment,24,446,6175,2005,12,16300000,4329872324,3744,UUn8zNIfYAQNdrFRrr8oibKw
769,Sandra Cires Art,Entertainment,24,84,4064,2011,9,16300000,3794164921,970,UUYM02HkL0C3V1hAzw0HUXUw
770,Jason Vlogs,Entertainment,24,542,2680,2015,7,16200000,7883028529,694,UUjmAh2qxmvWdH3xNPbg0IUQ
771,FailArmy,Entertainment,24,1000,4148,2011,7,16200000,2274350404,365,UUPDis9pjXuqyI7RYLJ-TTSA
772,Camila Cabello,Entertainment,24,32,2650,2015,8,16000000,6249940825,80,UUio_FVgKVgqcHrRiXDpnqbw
773,Matt Stonie,Entertainment,24,91,3732,2012,8,16000000,3352480573,414,UUd1fLoVFooPeWqCEYVUJZqg
774,Kids Play,Entertainment,24,108,1643,2018,5,15900000,7782590447,558,UUlyPv5RRfYdUFv2SsgV5uMw
775,FunFun Toy Doll TV,Entertainment,24,375,2356,2016,5,15800000,7095379655,712,UUqvS0UZpSh8ydVQ7TxGNOJw
776,With Kids[위드키즈],Entertainment,24,568,3781,2012,7,15700000,8288612480,872,UU6ye474SJCiPsEPueO_b3Gw
777,Vlad and Niki ESP,Entertainment,24,86,1493,2018,10,15700000,6007111166,441,UUZLl7vfqlRjVL4YBHGmLVvQ
778,SMOL,Entertainment,24,316,605,2021,3,15300000,16224181547,2505,UUBBZ7No0AzEJ3qiatjSa-mg
779,LEGO,Entertainment,24,986,6230,2005,10,15200000,19411340588,29469,UUP-Ng5SXUEt0VE-TXqRdL6g
780,Super Senya,Entertainment,24,213,2315,2016,7,15100000,4911025754,565,UUjx0-lAtcB7pTxT6MaGPs9g
781,Дима Масленников,Entertainment,24,258,3170,2014,3,15100000,2141207081,408,UUwipTluVS2mjuhPtx2WU7eQ
782,TheRichest,Entertainment,24,766,3218,2014,1,15100000,2936765927,2268,UUdxi8d8qRsRyUi2ERYjYb-w
783,Mariale,Entertainment,24,809,4693,2010,1,15000000,2636316248,2016,UUSyoRFkB5xkaa3ScUcBaETw
784,ERB,Entertainment,24,325,6121,2006,2,14800000,3940105852,86,UUMu5gPmKp5av0QCAajKTMhw
785,Kwebbelkop,Entertainment,24,597,5337,2008,4,14800000,6688489386,4996,UUfLuMSIDmeWRYpuCQL0OJ6A
786,Zach King,Entertainment,24,289,3316,2013,10,14700000,2175832056,403,UUq8DICunczvLuJJq414110A
787,Reaction Time,Entertainment,24,61,2758,2015,4,14700000,4248958746,1680,UUhM5Ff2yVeIZ16EWiB081cg
788,Johny FamilyShow,Entertainment,24,28,1895,2017,9,14700000,7019062525,369,UUq8KR1lnewd5ZPx9_XKoubg
789,Fueled By Ramen,Entertainment,24,315,6000,2006,6,14600000,12833612147,1199,UUlVrJwcIy7saPcGc1nct80A
790,Maha Fun Tv,Entertainment,24,40,1894,2017,9,14600000,1195653873,43,UUJYi5GZRNoW1nJGU_Y1JbGA
791,The Slow Mo Guys,Entertainment,24,316,4472,2010,8,14600000,2391566103,303,UUUK0HBIBWgM2c4vsPhkYY4w
792,Chad Wild Clay,Entertainment,24,362,6075,2006,3,14400000,6289476222,657,UUwaNuezahYT3BOjfXsne2mg
793,Super Polina,Entertainment,24,427,3049,2014,7,14400000,4766934598,536,UUE76CBkDX591pxzps6bySOw
794,Rclbeauty101,Entertainment,24,76,4351,2010,12,14400000,3878526929,460,UUB0d0JLn1WcGYcwwZ87d2LA
795,Daily Dose Of Internet,Entertainment,24,835,2677,2015,7,14300000,4579446904,423,UUdC0An4ZPNr_YiFiYoVbwaw
796,Vlad and Niki ARA,Entertainment,24,43,1268,2019,5,14200000,6694758545,436,UUoxoYSL3rFXB7JSELiI5V1w
797,Nas Daily,Travel & Events,19,372,4062,2011,9,10100000,4797418779,1044,UUJsUvAqDzczYv2UpFmu4PcA
798,Best Ever Food Review Show,Travel & Events,19,983,4434,2010,9,9310000,2040938219,568,UUcAd5Np7fO8SeejB1FVKcYw
799,Jen Smith,Travel & Events,19,27,4783,2009,10,8410000,2999918099,1968,UUqIqRzEge-Qvt4Iglx-uKdQ
800,Mv Ryhan,Travel & Events,19,63,698,2020,12,7850000,6076178378,425,UUcFQLco2CA2uq9J2Uwcoi6Q
801,Travel Thirsty,Travel & Events,19,149,3584,2013,1,7840000,3506504269,779,UUHKVXtT1YBCYUnnr4apqXfg
802,Blue Club ,Travel & Events,19,31,4343,2010,12,6850000,789394951,36,UU7nGdI1YVbdj0lBqEeg8KxQ
803,Food Insider,Travel & Events,19,883,1853,2017,10,4450000,1699720140,1329,UUwiTOchWeKjrJZw7S1H__1g
804,OmarGoshTV,Travel & Events,19,504,4002,2011,11,4190000,686291673,639,UUq52Fv9Jn7js4neFjaju3Fg
805,Strictly Dumpling,Travel & Events,19,134,3304,2013,10,4140000,966795951,641,UUXOKEdfOFxsHO_-Su3K8SHg
806,Drew Binsky,Travel & Events,19,433,3762,2012,7,3330000,709218910,990,UU0Ize0RLIbGdH5x4wI45G-A
807,Kara and Nate,Travel & Events,19,998,2532,2015,12,3310000,629657943,860,UU4ijq8Cg-8zQKx8OH12dUSw
808,Kid Ink,Travel & Events,19,58,4506,2010,7,3170000,1666953782,202,UUEzb3ViT0NJ3XhbPaiRM1Qg
809,Sam Chui,Travel & Events,19,258,5488,2007,11,3150000,758343185,441,UUfYCRj25JJQ41JGPqiqXmJw
810,Johnny Harris,Travel & Events,19,289,4176,2011,6,3060000,234778144,123,UUmGSJVG3mCRXVOP4yZrU1Dw
811,shiey,Travel & Events,19,15,3340,2013,9,2410000,183742617,119,UUpXwMqnXfJzazKS5fJ8nrVw
812,Mike Tompkins,Travel & Events,19,933,5958,2006,7,2370000,421023239,209,UUYEnCCeFBCbrlmuNVzs21LQ
813,Harald Baldr,Travel & Events,19,109,2796,2015,3,2320000,307412381,233,UUKr68ZJ4vv6VloNdnS2hjhA
814,KittiesMama,Travel & Events,19,582,5208,2008,8,2300000,1562982184,1126,UUwMrVVdT2tS4_UjlqRFwQ9g
815,FUNG BROS.,Travel & Events,19,255,4193,2011,5,2170000,452692956,1101,UU9avFXTdbSo5ATvzTRnAVFg
816,Aden Films,Travel & Events,19,730,3749,2012,8,2110000,1017636135,695,UUu9g5OmzcCpcJnmSYyHnIVw
817,Lost LeBlanc,Travel & Events,19,217,2870,2015,1,2050000,201730271,786,UUt_NLJ4McJlCyYM-dSPRo7Q
818,Yummy Yammy,Travel & Events,19,180,1098,2019,11,1970000,828708014,693,UUgO0aJHs7kQ-vWSI12_TLfQ
819,RED FOOD,Travel & Events,19,77,2816,2015,2,1890000,679593847,1234,UUvWulTmPsyUscivbwE-xg2Q
820,푸디랜드 FoodieLand,Travel & Events,19,717,973,2020,3,1860000,958506611,741,UUHy8o-_zR_vHqpPN4uNUvkg
821,Theme Park Review,Travel & Events,19,864,4632,2010,3,1850000,1361850946,2750,UUT-LpxQVr4JlrC_mYwJGJ3Q
822,Attractions 360°,Travel & Events,19,656,3145,2014,4,1700000,982351913,1138,UUbDGvfJHf0r_WjS9voB8POA
823,Just Planes,Travel & Events,19,274,5907,2006,9,1620000,570676203,2586,UUr8T9rFNMB3tLAW2TSFZc2A
824,Rick Steves' Europe,Travel & Events,19,602,6097,2006,3,1610000,348005863,1920,UUchgIh8Tc4sTmBfnMQ5pDdg
825,Whitney Bjerken,Travel & Events,19,566,4207,2011,5,1610000,708835363,695,UUUPfRa2JQtzWQZC7mLsr7bQ
826,PraveenMohan,Travel & Events,19,698,4209,2011,5,1570000,243482867,578,UUe3OmUXohXrXnNZSRl5Z9kA
827,Disney Parks,Travel & Events,19,290,5828,2006,11,1570000,554491370,2222,UU1xwwLwm6WSMbUn_Tp597hQ
828,Nellifornication,Travel & Events,19,223,1478,2018,10,1500000,366248747,327,UUhsWRtPH1RZ2TCfHF_TP_kA
829,More Best Ever Food Review Show,Travel & Events,19,64,1262,2019,5,1480000,193925332,132,UUXw1ddyrUmib3zmCmvSI1ow
830,Collin Abroadcast,Travel & Events,19,115,3787,2012,7,1460000,163981325,92,UUXsQlHGuoWqukC9vz-uonrg
831,The Bucket List Family,Travel & Events,19,229,2688,2015,7,1420000,200193185,357,UUuAHfJyWROB4XRReS43EWUw
832,The Ninja Fam!,Travel & Events,19,534,725,2020,11,1390000,355460403,75,UUU3Q7YbKNK6yTsG-g7v-5Ug
833,TPMvids,Travel & Events,19,182,3219,2014,1,1350000,309914013,270,UUMddDi4iCT8Rz8L0JL-bH7Q
834,Ako Stark,Travel & Events,19,0,4466,2010,8,1340000,24151,1,UU37phS0lPRTbsAUNmTRX-Zw
835,Peter Santenello,Travel & Events,19,807,5045,2009,1,1340000,169449088,261,UU3Vuq4Q1bKFtAiKYlwRv3oA
836,Inside the Magic,Travel & Events,19,290,6045,2006,4,1330000,1212244929,5129,UUYdNtGaJkrtn04tmsmRrWlw
837,CoasterForce,Travel & Events,19,441,5984,2006,6,1280000,772051954,3362,UUIxiXRZqUv9zYVM80cz6ZnA
838,Kurt Caz,Travel & Events,19,55,2436,2016,3,1240000,141042696,111,UU29vLPlafHcsqZu3L-Rk_pA
839,Bangladeshi Food Reviewer,Travel & Events,19,589,3866,2012,4,1210000,283137836,911,UUR9-c_ryeb4OM_I3c3zUFYw
840,Vadhir Derbez,Travel & Events,19,0,5602,2007,7,1200000,86206002,153,UUMpvkv7p_TQtqhj7M-X9rxw
841,sweetandtastyTV,Travel & Events,19,101,6201,2005,11,1190000,174611052,542,UU9aWBNR-mDNzgRsO3XLJ7uw
842,FoodyTrip 푸디트립,Travel & Events,19,81,1833,2017,11,1180000,446010230,465,UUDBFchGuAOy5-2sy8nYMVxA
843,Nate & Nessa The Explorers,Travel & Events,19,604,3176,2014,3,1170000,704868964,420,UUgGwuSL-fVxZoztAR1oe5IQ
844,Miss Mina,Travel & Events,19,113,2755,2015,4,1150000,180906359,345,UU8hI77bH0VraIw6p2PHwivQ
845,Expedia,Travel & Events,19,26,5996,2006,6,1140000,291118362,674,UUGaOvAFinZ7BCN_FDmw74fQ
846,The Kleb,Travel & Events,19,79,2650,2015,8,1140000,99161856,128,UUkUCUr0wSV-eN2oRnTRS01g
847,Sunty Dreams,Travel & Events,19,778,1659,2018,4,1140000,128244283,312,UUV58hE-D4viqzIsGkJX-xtA
848,Nomadic Ambience,Travel & Events,19,343,1947,2017,7,1100000,100885605,197,UUqRTj-Nu_8to3jIBlXptOtA
849,Planet Doc Full Documentaries,Travel & Events,19,274,3265,2013,12,1080000,390743654,845,UUetpfrEDE4AgKEu4vYdwMGQ
850,Davidsbeenhere,Travel & Events,19,716,5224,2008,7,1070000,243320248,2925,UU9SSUKnJIJxUjTD3eBaymLQ
851,Adrenaline Addiction,Travel & Events,19,425,5625,2007,6,1070000,147051587,280,UUrUP38Gv4spk2rHoIxZmG3A
852,Настоящее Время. Док,Travel & Events,19,265,1437,2018,12,1000000,262909432,1434,UUJ6Pq_rvhBWQW8sw7rYlkfw
853,Amazing Places on Our Planet,Travel & Events,19,358,5434,2007,12,1000000,241865714,361,UUYWJ32GJbOgtzU2uHh0OMCQ
854,MouseSteps / JWL Media,Travel & Events,19,424,5101,2008,11,965000,773101715,5519,UUe-gHr2O_LP7t0YJYHZQZlg
855,Jankari,Travel & Events,19,545,1724,2018,2,959000,1550844,10,UUageWcrf4cav7Xk7crIKrSQ
856,4K Relaxation Channel,Travel & Events,19,918,2776,2015,4,956000,300275639,1070,UUg72Hd6UZAgPBAUZplnmPMQ
857,Mizzy's Parrots,Travel & Events,19,117,2986,2014,9,955000,357888872,57,UUocAiQFhnbR7YWwSUeNI0Tg
858,Юрий Гагарин - Russian war diggers,Travel & Events,19,895,4250,2011,3,955000,296328663,280,UU_XcL8d1lFZAlgTvDMK4leQ
859,stance,Travel & Events,19,341,3153,2014,3,946000,360174047,5276,UUgiz3Pm3FBhDyy3g_fP5OVA
860,Wolters World,Travel & Events,19,868,4950,2009,4,921000,211283313,2210,UUFr3sz2t3bDp6Cux08B93KQ
861,Nature Relaxation Films,Travel & Events,19,997,5923,2006,8,904000,272414966,565,UU4lp9Emg1ci8eo2eDkB-Tag
862,Attractions Magazine,Travel & Events,19,297,5572,2007,8,901000,617180694,7212,UUFpI4b_m-449cePVasc2_8g
863,KEEMI,Travel & Events,19,10,2624,2015,9,896000,202988773,786,UUHn2-DNS5t4tEXqBK5bHmTQ
864,TheTimTracker,Travel & Events,19,394,4887,2009,6,890000,500544937,4606,UUoocMG5lMACNKgpvqKay2lg
865,Khám phá vùng quê,Travel & Events,19,310,3446,2013,6,867000,469921112,1889,UUF0CxJWbKpjH8uTHgA-WSdQ
866,Zalmi Plays,Travel & Events,19,49,617,2021,3,864000,128234935,127,UUF0Q1KAZafJxuhWdg9PemAA
867,DFBGuide,Travel & Events,19,705,2394,2016,4,857000,265884126,1347,UUnpWedLQdHpZqhgTLdB9Yyg
868,Sailing SV Delos,Travel & Events,19,529,5659,2007,5,811000,210243244,524,UUvLc83k5o11EIF1lEo0VmuQ
869,Cheap Street Food,Travel & Events,19,73,1231,2019,7,812000,719529912,3249,UULpnxDi6izFQBeSK5aWIt2w
870,Asma Nour channel,Travel & Events,19,468,2544,2015,11,756000,49803091,330,UUGLLvnDqKdUcAuonFvtmzyQ
871,Viajando con Vero,Travel & Events,19,341,2021,2017,5,747000,221111346,311,UULWCLAx6Gbs2J75Ts5IAiKA
872,Volpe Where Are You,Travel & Events,19,68,1840,2017,10,742000,77847529,240,UUcPVzEbEIv1GUl_c4owKuhg
